0	How many different Spider-Men are there in Across the Spider-Verse?
1	What is the screen resolution of vision pro?
2	Which film was the 2023 Palme d'Or winner?
3	Who will be the CEO of Twitter after Elon Musk is no longer the CEO?
4	How many goals did Haaland scored in the 2023 Champions League Final
5	Where did Benzema go after leaving Real Madrid?
6	Where was the 2023 Premier League FA Cup Final held?
7	What is the name of the combined Deepmind and Google Brain?
8	Where will Blackpink's 2023 world tour concert in France be held?
9	Where did the G7 Summit 2023 take place?
10	What are the best papers of CVPR 2023?
11	What is the release date of song Middle Ground?
12	Who wins NBA Finals 2023?
13	Who does Momoa play in Fast X?
14	What is Messi's annual income after transferring to Miami?
15	Who sang the theme song of Transformers Rise of the Beasts?
16	How much video memory does the DGX GH200 have?
17	What are the new features of PyTorch 2?
18	Who is the villain in The Flash?
19	Who win 2023 Laureus World Sportsman Of The Year Award?
20	The Little Mermaid first week box office?
