0-0	Spider-Man: Across the Spider-Verse is a 2023 American computer-animated superhero film featuring the Marvel Comics character Miles Morales / Spider-Man, produced by Columbia Pictures and Sony Pictures Animation in association with Marvel Entertainment, and distributed by Sony Pictures Releasing. The sequel to Spider-Man: Into the Spider-Verse (2018), it is set in a shared multiverse of alternate universes called the Spider-Verse. The film is directed by Joaquim Dos Santos, Kemp Powers, and Justin K. Thompson (in Dos Santos and Thompson's feature directorial debuts), from a screenplay written by Phil Lord, Christopher Miller (who both also produce) and David Callaham. Shameik Moore voices Miles, starring alongside Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Vélez, Jake Johnson, Jason Schwartzman, Issa Rae, Karan Soni, Daniel Kaluuya, and Oscar Isaac. In the film, Miles goes on an adventure with Gwen Stacy / Spider-Woman across the multiverse where he meets a new team of Spider-People known as the Spider-Society, led by Miguel O' Hara / Spider-Man 2099, but comes into conflict with them over handling a new threat.
0-1	Sony began developing a sequel to Into the Spider-Verse before its 2018 release, with the writing and directing team attached. It was set to focus on the relationship between Moore's Miles and Steinfeld's Gwen. The sequel was officially announced in November 2019 and animation work began in June 2020, with a different visual style for each of the six universes visited by the characters. With a runtime of 140 minutes, it is the longest animated film ever produced by an American studio.[
0-2	Spider-Man: Across the Spider-Verse premiered at the Regency Village Theatre in Los Angeles, California on May 30, 2023, and was released in the United States on June 2, having been delayed from an original April 2022 date due to the COVID-19 pandemic. Like its predecessor, the film received acclaim from critics, and was a box office success, grossing over $494 million against a production budget of $100 million at the worldwide box office, surpassing its predecessor and becoming the sixth-highest-grossing film of 2023. A third film, Spider-Man: Beyond the Spider-Verse, is scheduled to be released on March 29, 2024, while a female-focused spin-off film, Spider-Woman, is in development.
0-3	Spider-Man: Into the Spider-Verse arrived in theaters five years ago and introduced the world to a few Spider people from throughout the Spider-Verse. The sequel, Spider-Man: Across the Spider-Verse, hit theaters this week and will expand that multiverse in some massive ways. Not only will we finally see more of the Spider-Verse, but we will also seen hundreds of different Spider people. That's right, there will be hundreds of different Spider-Man characters present in the movie. Justin Thompson directed Spider-Man: Across the Spider-Verse alongside Kemp Powers and Joaquin Dos Santos, and Thompson claims there are around 280 different variations of Spider-characters throughout the film. About 100 of them have names, while the rest exist in the background.
0-4	"""The exact number? Oh boy, we kept adding, like all the way up until the very end,"" Thompson told Collider in a recent interview. ""Honestly, I'm gonna be level with you, we just finished the film, like in the last like two weeks, and I don't think I've had time to pause and actually take a final count. But I think it was about 280 the last time I looked in. Just to be clear, that doesn't mean specific, unique characters that you might recognize, it might mean variations as well. But if you're just talking about named characters, then I think there's probably about 95."""
0-5	"By the end of November 2018, ahead of the release of Spider-Man: Into the Spider-Verse (2018) the following month, Sony Pictures Animation had begun developing a sequel[43] due to the ""incredible buzz"" surrounding the project.[44] The sequel was to continue the story of Shameik Moore's Miles Morales / Spider-Man,[6][7] working from ""seeds [that were] planted"" throughout the first film.[43] Joaquim Dos Santos and David Callaham were set to direct and write, respectively, with Amy Pascal returning from the first film as producer. The other producers of the first film—Phil Lord, Christopher Miller, Avi Arad, and Christina Steinberg—were all also expected to return in some capacities.[43] The next month, Pascal revealed that the film would focus on Miles and Hailee Steinfeld's Gwen Stacy / Spider-Woman, exploring a romance between the characters that was cut from the first film, and that the sequel would be a ""launching pad"" for a previously announced female-focused spin-off film starring Steinfeld.[7] Sony officially confirmed the sequel in November 2019, with a release date of April 8, 2022, with Lord and Miller returning as producers.[45] In April 2020, Sony shifted the film's release to October 7, 2022, due to the COVID-19 pandemic.[46]"
0-6	Spider-Man: Across the Spider-Verse featured 280 different Spider-People. 95 of them were uniquely named and had lines. But there are even more who didn’t speak that showed up as easter eggs from niche comic book moments or were added just for a good laugh. Across the Spider-Verse has different versions of Spider-Man from video games and across Marvel’s many realities. Across the Spider-Verse includes tons of different Spider-Women, featuring Jessica Drew and her awesome motorcycle. Spider-People may not even be accurate since many of these heroes aren’t even people! The 1000 crew members working on this movie truly populated the Spider-Verse with every Spider-Man variant they could think of.
0-7	After spending way too long apart, audiences finally reunited with Miles Morales and the rest of the Spidey gang. Last weekend Spider-Man: Across the Spider-Verse hit theaters and blew us away. If you haven’t seen the movie yet, stop reading now to avoid spoilers and come back after you leave the theater. If you saw it, maybe read this and go see the movie again. Every frame is an artistic masterpiece and deserves to be seen multiple times. One highlight of the film is the sheer amount of Spider-people we get to see. The Spider Society headquarters has an abundance of Spider-Man variants from various dimensions and realities. Each Spider-person has a unique origin story, costume, and personality. Although lots of them are variations on Peter Parker, there are plenty of other folks in the mix. Let’s go over all the Spider-Men spotted in Across the Spider-Verse.
0-8	Why are there so many Spider-Mans? First things first, why do we have so many Spidey people? As explained by Miguel O’Hara/Spider-Man 2099, our reality is like a giant web. Each web connects to other webs via a fine line. Although each dimension/reality is slightly different, there are still a lot of similarities. For example, each universe (pretty much) has a Spider-Man of some kind. They keep the peace in their world and help maintain the canon of their reality. If someone disrupts the canon too much, that dimension may cease to exist. So each version of Earth gets a number to keep everything in order.
0-9	All the Spider-Man variants in Across the Spider-Verse Shameik Moore as Miles Morales in a suit in Spider-Man Into The Spiderverse (Sony Pictures Animation) Miles Morales/Spider-Man—Miles Morales (Shameik Moore) is the second Spider-Man of Earth-1610, along with their version of Peter Parker. Miles is an anomaly because a spider from Earth-42 bit him, so his Spidey powers don’t come from his reality. He’s adorable and we all love him. Gwen and Peter and Jess in Spider-Verse (Sony Pictures Animation) Gwen Stacy/Spider-Woman—Gwen Stacy (Hailee Steinfeld) of Earth-65 became the Spidey person of her world. Unlike most Gwens who fall for Peter Parker and end up dead, this Gwen kicks butt and plays the drums. Peter B. Parker/Spider-Man—Peter B. Parker (Jake Johnson) is the older and wiser Spidey. He’s basically Spider-Man from Earth-616 (otherwise known as the main Marvel comics universe). Mayday Parker hanging upside down in 'Spider-Man: Across the Spider-Verse' (Sony Pictures Animation) Mayday Parker/Spider-Girl—As a toddler, Mayday “May” Parker is already joining her dad, Peter B. Parker at the Spider Society. She’s got her own web shooters and a cute crocheted Spider hat. Jessica Drew, a.k.a. Spider-Woman, voiced by Issa Rae in 'Spider-Man: Across the Spider-Verse' (Sony Pictures Animation) Jess Drew/Spider-Woman—Jess Drew (Issa Rae) is a pregnant motorcycle-riding superhero from Earth-404. We need more of her.
0-10	Supporting Spider-People Spider-Punk in Across the Spider-VerseSony Pictures Some of the rarer Spider-People still had fairly significant roles. We’re speaking, of course, about Pavitr Prabhakar. From Earth-50101, Pavitr comes from a punny version of Manhattan called Mumbattan – a play on Mumbai. He originally appeared in issue one of Spider-Man: India, where he moved to the city with his Aunt Maya and Uncle Bhim after receiving a partial scholarship. He is more or less the same as the Peter Parker from Earth-616 (Marvel’s main canon), although in Across the Spider-Verse, he uses a diabolo, or devil’s yoyo, as a weapon and has amazing hair. Another fun fact – he’s voiced by Karan Soni, who plays Dopinder, Deadpool’s chauffeur in both Deadpool movies.
0-11	Spider-Man: Into the Spider-Verse eased us into the multiversal weirdness. After introducing Miles, we finally met Peter B. Parker, followed by Spider-Gwen. Soon, things went nuts with a noirish detective Spider-Man, an anime girl from the future, and a cartoon pig. Once all that was done, we got to see a futuristic Spider-Man 2099 interact with a badly animated version with an obsession with pointing. But this year’s Spider-Man: Across the Spider-Verse goes absolutely crazy with Spider-Man variants. Some are throwaway designs for the movie, but there are also many who are deep cuts from Marvel Comics history. Here’s a guide to all the new arachnid heroes and heroines in Across the Spider-Verse:
0-12	Spider-Man: Across the Spider-Verse will be in theaters beginning June 2. If you're wondering how and where you can watch it yourself, take a look at the information below. Spider-Man: Across the Spider-Verse marks the return of teen Miles Morales (Shameik Moore) and his multidimensional universe full of Spider-people. The sequel’s predecessor is a visually groundbreaking masterpiece that changed the landscape of animation, and Across the Spider-Verse promises to showcase more of this creativity. The unique animation of the Spider-Verse films has heavily influenced the artistic style of many other films, both released and upcoming. As a result, modern animation is becoming more vibrant and fresh in execution. Academy Award winner Daniel Kaluuya provides insights into his character romance speculation in Spider-Man: Across the Spider-Verse. If you loved the animation of 'Spider-Man: Across the Spider-Verse,’ be sure to watch these incredible animated movies!
0-13	"Spider-Man: Into the Spider-Verse is a 2018 American computer-animated superhero film featuring the Marvel Comics character Miles Morales / Spider-Man, produced by Columbia Pictures and Sony Pictures Animation in association with Marvel Entertainment. Distributed by Sony Pictures Releasing, it is the first animated film in the Spider-Man franchise.[4][5] Directed by Bob Persichetti, Peter Ramsey, and Rodney Rothman (in Persichetti and Rothman's feature directorial debuts) from a screenplay by Phil Lord and Rothman, it stars Shameik Moore as Morales, alongside the voices of Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry, Lily Tomlin, Luna Lauren Vélez, Zoë Kravitz, John Mulaney, Kimiko Glenn, Nicolas Cage, and Liev Schreiber. Inspired by the Amazing Spider-Man story arc ""Spider-Verse"", while also taking inspiration from the Ultimate Marvel comics ""The Death of Spider-Man"" and Spider-Men that served as Miles Morales' debut, the film's story follows Miles as he becomes the new Spider-Man and joins other Spider-People from various parallel universes to save his universe from Kingpin."
0-14	There have been many Spider-Men since the character was introduced in the comics in 1962. First, there were the TV shows. Then came Tobey Maguire’s Spider-Man in 2002, before Andrew Garfield assumed the role in 2012. In 2016, Tom Holland’s Spider-Man was introduced to the Marvel Cinematic Universe with a slate of three movies (in addition to appearances in other MCU films), the last of which saw all of the modern Spider-Men meet up for the first time with the villains they’ve faced off against. In 2018, Miles Morales made his big-screen debut in the animated hit Into The Spider-Verse, which reveals that all of the Spider-People are connected through the Spider-Verse. Into The Spider-Verse introduced a whole team of Spider-People, including Spider-Man (Jake Johnson), Spider-Ham (John Mulaney), Peni Parker (Kimiko Glenn), and Spider-Man Noir (Nicolas Cage). Their coexistence is explained by a multiverse with many dimensions. In the latest Miles-led film, Across The Spider-Verse, audiences get a greater understanding of the vastness of the multiverse. The number of Spider-People can get a little unwieldy, so here’s a primer on who each of the key webslingers are and who they were in the comic books before making their movie debuts.
0-15	The highly-acclaimed global hit animated film Spider-Man: Across the Spider-Verse has been pulled from the release schedule in UAE, Saudi Arabia and across the Middle East, and will no longer have a theatrical run in the region. The film, a sequel to the 2018 film Spider-Man: Into the Spider-Verse which introduced Miles Morales (Shameik Moore) as a new Spider-Man who teams up with alternate universe versions of the character, was scheduled to debut on June 22 across the territory ahead of the the upcoming Eid Al Adha holiday. I have confirmed with sources that the film did not pass censorship requirements in the UAE and will not see release across the region.
0-16	Spider-Man: Across the Spider-Verse released its trailer this week. And in it, we got to see all kinds of Spider-People from around the Spider-Verse. There were so many in fact, it’s probably impossible to identify them all. But there are a few Spider-Men and Spider-Women that we know about for sure, as well as some other, more obscure Spider-Men that are going to make an appearance. Across the Spider-Verse has had directors leak appearances and hint at cameos since people first started getting excited about the film. In this sequel, there will be hundreds of Spider-People. The trailer showed a bunch of them in all of their gloriously different animation styles. Though most of them won’t have speaking parts, a lot of them will be featured with at least a small cameo. The directors are even putting in some fun Spider-Memes.
0-17	If you think the world already has enough Spider-Men, you might not be ready for Spider-Man: Into the Spider-Verse. Part coming-of-age tale, part psychedelic acid trip, and all a love letter to the comic book medium, Sony's animated Marvel movie—written by Phil Lord and directed by Bob Persichetti, Rodney Rothman, and Peter Ramsey—follows Miles Morales (Shameik Moore), a Brooklynite on the cusp of a bite from the same radioactive arachnid that turned Peter Parker into Spider-Man. As Miles still juggles newfound powers with the trials of being an awkward teen, Wilson Fisk (Liev Schrieber) rips a hole in reality, opening the door for the arrival of alt-universe Spideys like Gwen Stacy (Hailee Steinfeld), Spider-Man: Noir (Nicolas Cage), Spider-Ham (John Mulaney), Peni Parker (Kimiko Glenn), and Peter B. Parker (Jake Johnson), a schlubby, out-of-shape version of Spider-Man who couldn't handle that great responsibility that comes with all that great power. This movie is a joy, man, and I can't recommend it enough to anyone who has ever picked a webhead comic off the funny book rack.
0-18	Across the Spider-Verse’s new trailer finds Miles Morales (Shameik Moore) doing just fine in his home universe as he balances life between doing fine in school and dealing with friendly neighborhood villains like the Spot (Jason Schwartzman). As always, all Miles’ mother Rio (Luna Lauren Vélez) and father Jefferson (Brian Tyree Henry) want is for their son to be happy and open up to them. But rather than telling his parents about his double life, whatever Miles is dealing with brings him face to face with his good friend Gwen (Hailee Steinfeld) from another dimension, and this time around she shows up with an invitation to take Miles on an adventure.
0-19	`“Spider-Man: Across the Spider-Verse” has become a smash hit at the box office – raking in more than $120 million during its opening weekend, the second largest of the year. Fans and critics alike are praising the sequel to 2018’s “Spider-Man: Into the Spider-Verse” for its buffet of visual indulgences, solidifying the franchise’s place in animated movie royalty. And there’s one thing some fans are particularly excited about: Gwen Stacy – a Spider superhero in an alternative universe – might be transgender. Since the movie’s release earlier this month, fans have seized on some hints throughout the movie that seem to be pointing to Gwen’s gender identity. In one scene, a transgender flag is hanging in Gwen’s room, printed with the words “Protect Trans Kids.” In another, Gwen’s father is briefly seen with a trans flag pinned to his police uniform. And throughout, Gwen is draped in pink and blue, the colors of the trans flag.
